session_id	cookie_id	individual_id	session_seq	url	creation_datetime	function	logic	intention	duration	active_duration	loading_time	ip
23773184	509dd97c4adf4eb0808a080db37b88c9	individual_id	1	app://com.cathaybk.mmb.ios.app	2016-08-01 02:26:36.867000	function	logic	intention	1250	1250	-1	49.214.146.62
23773184	509dd97c4adf4eb0808a080db37b88c9	individual_id	2	app://com.cathaybk.mmb.ios.app/國泰世華銀行	2016-08-01 02:26:38.117000	function	logic	intention	3244	3244	-1	49.214.146.62
23773185	ff427f50b7074eb6b1caa3581bc7f147	individual_id	1	https://www.mybank.com.tw/mybank/home/MyMobiBank	2016-08-01 02:26:37.414000	function	logic	intention	26337	26337	-1	101.15.0.224
23773185	ff427f50b7074eb6b1caa3581bc7f147	individual_id	2	https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyMobiBank	2016-08-01 02:27:03.751000	function	logic	intention	41142	41142	-1	101.15.0.224
23773185	ff427f50b7074eb6b1caa3581bc7f147	individual_id	3	https://www.mybank.com.tw/MyBank/MyMobiBank/Bonus/C0401_BonusInq	2016-08-01 02:27:44.893000	function	logic	intention	1481	1481	-1	101.15.0.224
23773185	ff427f50b7074eb6b1caa3581bc7f147	individual_id	4	https://www.mybank.com.tw/mybank/home/MyMobiBank	2016-08-01 02:28:10.101000	function	logic	intention	15236	15236	-1	101.15.0.224
23773186	b0af391d95b64ee1b527bf93dccefc61	individual_id	1	app://com.cathaybk.mymobibank.android.app	2016-08-01 02:26:38.387000	function	logic	intention	6173	6173	-1	49.217.164.30
23773186	b0af391d95b64ee1b527bf93dccefc61	individual_id	2	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 02:26:44.560000	function	logic	intention	134584	120000	-1	49.217.164.30
23773186	b0af391d95b64ee1b527bf93dccefc61	individual_id	3	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 02:28:59.144000	function	logic	intention	110	110	-1	49.217.164.30
23773186	b0af391d95b64ee1b527bf93dccefc61	individual_id	4	app://com.cathaybk.mymobibank.android.app/MyBankTabGroup	2016-08-01 02:28:59.254000	function	logic	intention	125362	120000	-1	49.217.164.30
23773186	b0af391d95b64ee1b527bf93dccefc61	individual_id	5	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 02:31:04.616000	function	logic	intention	0	0	-1	49.217.164.30
23773187	6ca8b40578824d1d90abf9a4c0618846	individual_id	1	https://www.mybank.com.tw/mybank/home/MyMobiBank	2016-08-01 02:26:38.667000	function	logic	intention	15431	15431	-1	180.204.64.75
23773187	6ca8b40578824d1d90abf9a4c0618846	individual_id	2	https://www.mybank.com.tw/MyBank/MyMobiBank/AcctInq/B0101_DepInq	2016-08-01 02:26:54.980000	function	logic	intention	11441	11441	-1	180.204.64.75
23773187	6ca8b40578824d1d90abf9a4c0618846	individual_id	3	https://www.mybank.com.tw/MyBank/Quicklinks/AcctInq/B0103_TxnDtlInq?FunTxnAcno=0000001502219002	2016-08-01 02:27:05.539000	function	logic	intention	49226	49226	611	180.204.64.75
23773187	6ca8b40578824d1d90abf9a4c0618846	individual_id	4	https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyMobiBank	2016-08-01 02:27:54.765000	function	logic	intention	898137	150449	-1	180.204.64.75
23773187	6ca8b40578824d1d90abf9a4c0618846	individual_id	5	https://www.mybank.com.tw/MyBank/MyMobiBank/AcctInq/B0101_DepInq	2016-08-01 02:42:52.902000	function	logic	intention	9952	9952	-1	180.204.64.75
23773187	6ca8b40578824d1d90abf9a4c0618846	individual_id	6	https://www.mybank.com.tw/MyBank/MyMobiBank/Home/MyMobiBank	2016-08-01 02:43:02.854000	function	logic	intention	46350	46350	2549	180.204.64.75
23773187	6ca8b40578824d1d90abf9a4c0618846	individual_id	7	https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyMobiBank	2016-08-01 02:43:49.204000	function	logic	intention	344	344	-1	180.204.64.75
23773188	735ff65546dd492ab98f63015a41ca28	individual_id	1	https://www.mybank.com.tw/MyBank/Quicklinks/Outer/HotNews	2016-08-01 02:26:40.200000	function	logic	intention	1647	1647	-1	52.39.6.196
23773188	735ff65546dd492ab98f63015a41ca28	individual_id	2	https://www.mybank.com.tw/MyBank/Home/Login	2016-08-01 02:26:42.506000	function	logic	intention	34008	34008	718	52.39.6.196
23773188	735ff65546dd492ab98f63015a41ca28	individual_id	3	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 02:27:19.479000	function	logic	intention	5438	5438	4414	52.39.6.196
23773188	735ff65546dd492ab98f63015a41ca28	individual_id	4	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 02:27:25.339000	function	logic	intention	31908	31908	2975	52.39.6.196
23773188	735ff65546dd492ab98f63015a41ca28	individual_id	5	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 02:27:57.685000	function	logic	intention	5780	5780	1758	52.39.6.196
23773188	735ff65546dd492ab98f63015a41ca28	individual_id	6	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 02:28:06.976000	function	logic	intention	19267	19267	2000	52.39.6.196
23773188	735ff65546dd492ab98f63015a41ca28	individual_id	7	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 02:28:26.667000	function	logic	intention	3166	3166	2350	52.39.6.196
23773188	735ff65546dd492ab98f63015a41ca28	individual_id	8	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 02:28:33.123000	function	logic	intention	27055	27055	2054	52.39.6.196
23773189	2118c0c5f451493b961fb4a28813630e	individual_id	1	https://www.mybank.com.tw/mybank/Home/MyMobiBank	2016-08-01 02:26:40.371000	function	logic	intention	45952	45952	-1	42.73.35.236
23773189	2118c0c5f451493b961fb4a28813630e	individual_id	2	https://www.mybank.com.tw/MyBank/MyMobiBank/CQuery/C0102_BillInq	2016-08-01 02:27:30.208000	function	logic	intention	55489	55489	5384	42.73.35.236
23773189	2118c0c5f451493b961fb4a28813630e	individual_id	3	https://www.mybank.com.tw/mybank/Home/MyMobiBank	2016-08-01 02:29:50.860000	function	logic	intention	16276	16276	-1	42.73.35.236
23773190	63d4d76757a94c6e9f6bfabf94769ef5	individual_id	1	https://www.mybank.com.tw/mybank/home/MyMobiBank	2016-08-01 02:26:42.300000	function	logic	intention	37742	37742	-1	49.214.146.62
23773190	63d4d76757a94c6e9f6bfabf94769ef5	individual_id	2	https://www.mybank.com.tw/MyBank/MyMobiBank/AcctInq/B0101_DepInq	2016-08-01 02:27:20.420000	function	logic	intention	876	876	-1	49.214.146.62
23773191	48a84f84e83840fdb7f153233150f1d7	individual_id	1	https://www.cathaybk.com.tw/cathaybk/mobile/index.asp	2016-08-01 02:26:44.846000	function	logic	intention	28927	28927	-1	111.82.184.167
23773191	48a84f84e83840fdb7f153233150f1d7	individual_id	2	https://www.cathaybk.com.tw/cathaybk/mobile/rate_01.asp	2016-08-01 02:27:13.773000	function	logic	intention	35392	35392	582	111.82.184.167
23773191	48a84f84e83840fdb7f153233150f1d7	individual_id	3	https://www.cathaybk.com.tw/cathaybk/mobile/index.asp	2016-08-01 02:27:49.165000	function	logic	intention	53184	53184	-1	111.82.184.167
23773191	48a84f84e83840fdb7f153233150f1d7	individual_id	4	https://www.cathaybk.com.tw/cathaybk/mobile/index.asp	2016-08-01 02:28:42.349000	function	logic	intention	15280	15280	-1	111.82.184.167
23773192	e51e3d2cca9f429190673e4f81c882b5	individual_id	1	https://www.mybank.com.tw/mybank/Home/MyMobiBank	2016-08-01 02:26:45.766000	function	logic	intention	23485	23485	-1	49.217.164.30
23773192	e51e3d2cca9f429190673e4f81c882b5	individual_id	2	https://www.mybank.com.tw/MyBank/MyMobiBank/AcctInq/B0101_DepInq	2016-08-01 02:27:12.199000	function	logic	intention	3643	3643	3131	49.217.164.30
23773192	e51e3d2cca9f429190673e4f81c882b5	individual_id	3	https://www.mybank.com.tw/MyBank/Quicklinks/AcctInq/B0103_TxnDtlInq?FunTxnAcno=0000021570061442	2016-08-01 02:27:17.207000	function	logic	intention	15900	15900	1249	49.217.164.30
23773192	e51e3d2cca9f429190673e4f81c882b5	individual_id	4	https://www.mybank.com.tw/mybank/Home/MyMobiBank	2016-08-01 02:29:01.761000	function	logic	intention	106286	106286	-1	49.217.164.30
23773192	e51e3d2cca9f429190673e4f81c882b5	individual_id	5	https://www.mybank.com.tw/mybank/Home/MyMobiBank	2016-08-01 02:30:51.500000	function	logic	intention	15442	15442	3025	49.217.164.30
23773192	e51e3d2cca9f429190673e4f81c882b5	individual_id	6	https://www.mybank.com.tw/MyBank/MyMobiBank/AcctInq/B0101_DepInq	2016-08-01 02:31:05.684000	function	logic	intention	2256	2256	-1	49.217.164.30
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	1	app://com.cathaybk.koko.android.app	2016-08-01 02:26:46.872000	function	logic	intention	63	63	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	2	app://com.cathaybk.koko.android.app/HomeActivity	2016-08-01 02:26:46.935000	function	logic	intention	3461	3461	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	3	app://com.cathaybk.koko.android.app/LoginGesture	2016-08-01 02:26:50.396000	function	logic	intention	17321	17321	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	4	app://com.cathaybk.koko.android.app/HomeActivity	2016-08-01 02:27:07.717000	function	logic	intention	2149	2149	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	5	app://com.cathaybk.koko.android.app/MessageActivity	2016-08-01 02:27:09.866000	function	logic	intention	6610	6610	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	6	app://com.cathaybk.koko.android.app/WebContentActivity	2016-08-01 02:27:16.476000	function	logic	intention	9113	9113	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	7	app://com.cathaybk.koko.android.app/MessageActivity	2016-08-01 02:27:25.589000	function	logic	intention	13200	13200	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	8	app://com.cathaybk.koko.android.app/OtherActivity	2016-08-01 02:27:38.789000	function	logic	intention	9235	9235	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	9	app://com.cathaybk.koko.android.app/HomeActivity	2016-08-01 02:27:48.240000	function	logic	intention	4122	4122	-1	61.60.199.3
23773193	e4ed11afc119465d933d4b3d4e777142	individual_id	10	app://com.cathaybk.koko.android.app/MessageActivity	2016-08-01 02:27:52.146000	function	logic	intention	0	0	-1	61.60.199.3
23773194	566fd74d52ee4c7aa9e2e669e91532aa	individual_id	1	app://com.cathaybk.mymobibank.android.app	2016-08-01 02:26:46.997000	function	logic	intention	2115	2115	-1	122.116.126.111
23773194	566fd74d52ee4c7aa9e2e669e91532aa	individual_id	2	app://com.cathaybk.mymobibank.android.app/MessageCenterActivity	2016-08-01 02:26:49.112000	function	logic	intention	0	0	-1	122.116.126.111
23773195	c86e0fe7e0b8478888d4d1f702a5f41d	individual_id	1	app://com.cathaybk.mmb.ios.app	2016-08-01 02:26:49.381000	function	logic	intention	1109	1109	-1	150.117.54.100
23773195	c86e0fe7e0b8478888d4d1f702a5f41d	individual_id	2	app://com.cathaybk.mmb.ios.app/國泰世華銀行	2016-08-01 02:26:50.490000	function	logic	intention	1163	1163	-1	150.117.54.100
23773195	c86e0fe7e0b8478888d4d1f702a5f41d	individual_id	3	app://com.cathaybk.mmb.ios.app/匯率查詢	2016-08-01 02:26:51.653000	function	logic	intention	0	0	-1	150.117.54.100
23773196	f9658652400a4c05a2f1d70206839421	individual_id	1	https://www.mybank.com.tw/MyBank/Home/Login?ReturnUrl=%2fMyBank%2fQuicklinks%2fHome%2fLogout	2016-08-01 02:26:52.228000	function	logic	intention	41316	41316	-1	122.117.9.173
23773196	f9658652400a4c05a2f1d70206839421	individual_id	2	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 02:27:35.968000	function	logic	intention	434394	346030	2449	122.117.9.173
23773196	f9658652400a4c05a2f1d70206839421	individual_id	3	https://www.mybank.com.tw/MyBank/Home/LoginMessageReLogin	2016-08-01 02:34:50.770000	function	logic	intention	8872	8872	429	122.117.9.173
23773196	f9658652400a4c05a2f1d70206839421	individual_id	4	https://www.mybank.com.tw/MyBank/Home/Login	2016-08-01 02:35:00.660000	function	logic	intention	17644	17644	427	122.117.9.173
