session_id	cookie_id	individual_id	session_seq	url	creation_datetime	function	logic	intention	duration	active_duration	loading_time	ip
23777280	ba179ca15c624474bb62722e0f99264b	individual_id	1	app://com.cathaybk.mmb.ios.app	2016-08-01 05:18:42.567000	function	logic	intention	1566	1566	-1	73.227.193.75
23777280	ba179ca15c624474bb62722e0f99264b	individual_id	2	app://com.cathaybk.mmb.ios.app/國泰世華銀行	2016-08-01 05:18:44.133000	function	logic	intention	90303	90303	-1	73.227.193.75
23777281	d7a8d9604c5844a399f00027d71f588b	individual_id	1	https://www.cathaybk.com.tw/cathaybk/index.asp	2016-08-01 05:18:50.921000	function	logic	intention	15496	15496	-1	219.84.235.76
23777281	d7a8d9604c5844a399f00027d71f588b	individual_id	2	https://www.mybank.com.tw/mybank	2016-08-01 05:18:55.658000	function	logic	intention	34253	34253	-1	219.84.235.76
23777281	d7a8d9604c5844a399f00027d71f588b	individual_id	3	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 05:19:30.224000	function	logic	intention	108674	108674	2868	219.84.235.76
23777281	d7a8d9604c5844a399f00027d71f588b	individual_id	4	https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout	2016-08-01 05:21:19.700000	function	logic	intention	1677	1677	583	219.84.235.76
23777282	8cc682f21b294b9f9c70ed6d06e61341	individual_id	1	app://com.cathaybk.mymobibank.android.app	2016-08-01 05:18:53.980000	function	logic	intention	3239	3239	-1	101.139.140.201
23777282	8cc682f21b294b9f9c70ed6d06e61341	individual_id	2	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 05:18:56.337000	function	logic	intention	109	109	-1	101.139.140.201
23777282	8cc682f21b294b9f9c70ed6d06e61341	individual_id	3	app://com.cathaybk.mymobibank.android.app/MyBankTabGroup	2016-08-01 05:18:56.446000	function	logic	intention	0	0	-1	101.139.140.201
23777283	0a9844072d564226801895665001feb7	individual_id	1	app://com.cathaybk.mymobibank.android.app	2016-08-01 05:18:59.779000	function	logic	intention	203	203	-1	126.61.190.237
23777284	876da7449bb6493aa5f929226304c7c4	individual_id	1	https://www.mybank.com.tw/mybank/Home/MyMobiBank	2016-08-01 05:19:01.126000	function	logic	intention	12223	12223	-1	126.61.190.237
23777284	876da7449bb6493aa5f929226304c7c4	individual_id	2	https://www.mybank.com.tw/MyBank/MyMobiBank/AcctInq/B0101_DepInq	2016-08-01 05:19:16.528000	function	logic	intention	4314	4314	3231	126.61.190.237
23777284	876da7449bb6493aa5f929226304c7c4	individual_id	3	https://www.mybank.com.tw/MyBank/Quicklinks/AcctInq/B0103_TxnDtlInq?FunTxnAcno=0000026506255057	2016-08-01 05:19:21.670000	function	logic	intention	13614	13614	832	126.61.190.237
23777284	876da7449bb6493aa5f929226304c7c4	individual_id	4	https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyMobiBank	2016-08-01 05:19:37.117000	function	logic	intention	0	0	-1	126.61.190.237
23777284	876da7449bb6493aa5f929226304c7c4	individual_id	5	https://www.mybank.com.tw/mybank/Home/MyMobiBank	2016-08-01 05:21:11.620000	function	logic	intention	3365	3365	-1	126.61.190.237
23777284	876da7449bb6493aa5f929226304c7c4	individual_id	6	https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyMobiBank	2016-08-01 05:21:14.677000	function	logic	intention	297	297	2234	126.61.190.237
