32681374,None,6145,6145
32681374,None,9092,9092
32681374,None,2094,2094
32681374,None,23255,23255
32681374,None,5117,5117
32681374,None,21093,21093
32681374,None,3143,3143
32681374,None,13087,13087
32681374,None,24211,24211
32681374,None,6108,6108
32681374,None,2074,2074
32681374,None,9120,9120
32681374,None,17328,17328
32681374,None,12114,12114
32681374,None,3187,3187
32681374,None,14248,14248
32681374,None,34190,34190
32681374,None,98290,98290
32681374,None,18320,18320
32681374,None,2165,2165
32681374,None,7111,7111
32681374,None,105483,105483
32681374,None,3114,3114
32681374,None,5087,5087
32681374,None,6096,6096
32681374,None,17086,17086
32681374,None,8193,8193
32681374,None,7085,7085
32681374,None,30170,30170
32681374,None,44237,44237
32681374,None,7122,7122
32681374,None,3083,3083
32681374,None,6140,6140
32681374,None,3097,3097
32681374,None,3075,3075
32681374,None,21091,21091
32681374,None,3168,3168
32681374,None,47232,47232
32681374,None,18340,18340
32681374,None,119192,119192
32681374,None,17123,17123
32681374,None,0,0
32681374,None,98380,98380
32681374,None,2153,2153
32681374,None,7140,7140
32681374,None,2098,2098
32681374,None,8149,8149
32681374,None,29095,29095
32681374,None,57175,57175
32681374,None,1078,1078
32681374,None,12119,12119
32681374,None,4236,4236
32681374,None,2081,2081
32681374,None,14146,14146
32681374,None,312366,120000
32681374,None,3087,3087
32681374,None,120260,120260
32681374,None,5095,5095
32681374,None,2157,2157
32681374,None,8109,8109
32681374,None,146463,127197
32681374,None,42252,42252
32681374,None,4145,4145
32681374,None,5151,5151
32681374,None,9192,9192
32681374,None,2125,2125
32681374,None,72105,72105
32681374,None,27280,27280
32681374,None,12326,12326
32681374,None,30154,30154
32681374,None,63,63
32681374,None,4085,4085
32681374,None,4228,4228
32681374,None,63,63
32681374,None,11237,11237
32681374,None,2072,2072
32681374,None,1075,1075
32681374,None,21325,21325
32681374,None,1110,1110
32681374,None,10109,10109
32681374,None,1078,1078
32681374,None,281579,240000
32681374,None,11086,11086
32681374,None,10196,10196
32681374,None,11109,11109
32681374,None,5123,5123
32681374,None,4098,4098
32681374,None,2195,2195
32681374,None,2101,2101
32681374,None,1068,1068
32681374,None,6118,6118
32681374,None,16120,16120
32681374,None,29265,29265
32681374,None,10132,10132
32681374,None,13199,13199
32681374,None,10127,10127
32681374,None,45190,45190
32681374,None,3176,3176
32681374,None,17131,17131
32681374,None,1667772,120000
32681374,None,1089,1089
32681374,None,1109,1109
32681374,None,18159,18159
32681374,None,3076,3076
32681374,None,6186,6186
32681374,None,2078,2078
32681374,None,1084,1084
32681374,None,21100,21100
