session_id	cookie_id	individual_id	session_seq	url	creation_datetime	function	logic	intention	duration	active_duration	loading_time	ip
23773243	cookie_id	individual_id	4	https://www.cathaybk.com.tw/cathaybk/card/event/2016/card_news1050616.asp	2016-08-01 03:09:48.630000	function	logic	intention	17133	17133	-1	ip
23773315	cookie_id	individual_id	5	https://www.cathaybk.com.tw/cathaybk/card/event/2011/travel_1.asp	2016-08-01 03:00:52.769000	function	logic	intention	13712	13712	-1	ip
23773315	cookie_id	individual_id	6	https://www.cathaybk.com.tw/cathaybk/card/card/card.asp	2016-08-01 03:01:06.560000	function	logic	intention	6730	6730	406	ip
23773315	cookie_id	individual_id	7	https://www.cathaybk.com.tw/cathaybk/card/card/card_1.asp	2016-08-01 03:01:13.322000	function	logic	intention	240106	120250	386	ip
23773396	cookie_id	individual_id	12	https://www.kokobank.com/KOKO	2016-08-01 03:00:31.878000	function	logic	intention	4605	4605	-1	ip
23773396	cookie_id	individual_id	13	https://www.kokobank.com/KOKO/Card	2016-08-01 03:00:37.780000	function	logic	intention	28289	28289	533	ip
23773396	cookie_id	individual_id	14	https://www.kokobank.com/KOKO/Apply	2016-08-01 03:01:05.727000	function	logic	intention	10754	10754	398	ip
23773396	cookie_id	individual_id	15	https://www.kokobank.com/KOKO/Apply/Home/TermsAgree	2016-08-01 03:01:16.762000	function	logic	intention	3615	3615	282	ip
23773396	cookie_id	individual_id	16	https://www.kokobank.com/KOKO/Home/KOKOStore	2016-08-01 03:01:20.408000	function	logic	intention	2996	2996	332	ip
23773396	cookie_id	individual_id	17	https://www.kokobank.com/KOKO/	2016-08-01 03:01:23.482000	function	logic	intention	657422	120625	271	ip
23773396	cookie_id	individual_id	18	https://www.kokobank.com/KOKO/Apply	2016-08-01 03:12:20.966000	function	logic	intention	10349	10349	374	ip
23773396	cookie_id	individual_id	19	https://www.kokobank.com/KOKO/Apply/Home/TermsAgree	2016-08-01 03:12:31.362000	function	logic	intention	7664	7664	262	ip
23773396	cookie_id	individual_id	20	https://www.kokobank.com/KOKO/	2016-08-01 03:12:39.341000	function	logic	intention	12093	12093	269	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	8	https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout	2016-08-01 03:00:24.202000	function	logic	intention	6343	6343	218	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	9	https://www.mybank.com.tw/MyBank/Home/Login	2016-08-01 03:00:30.670000	function	logic	intention	24935	24935	298	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	10	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 03:00:57.600000	function	logic	intention	14972	14972	2028	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	11	https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout	2016-08-01 03:01:12.603000	function	logic	intention	1062	1062	232	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	12	https://www.mybank.com.tw/MyBank/Home/Login	2016-08-01 03:01:13.934000	function	logic	intention	22187	22187	280	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	13	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 03:01:39.810000	function	logic	intention	56357	56357	3046	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	14	https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout	2016-08-01 03:02:35.469000	function	logic	intention	993	993	257	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	15	https://www.mybank.com.tw/MyBank/Home/Login	2016-08-01 03:02:36.790000	function	logic	intention	22558	22558	318	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	16	https://www.mybank.com.tw/mybank	2016-08-01 03:02:59.653000	function	logic	intention	22060	22060	300	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	17	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 03:03:23.447000	function	logic	intention	80259	80259	1837	ip
23773425	eca7932bcfba422095043d8308cca1d0	individual_id	18	https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout	2016-08-01 03:04:43.737000	function	logic	intention	8679	8679	252	ip
23773465	cookie_id	individual_id	24	app://com.cathaybk.mymobibank.android.app/TabBarActivity	2016-08-01 03:05:58.312000	function	logic	intention	109	109	-1	ip
23773465	cookie_id	individual_id	25	app://com.cathaybk.mymobibank.android.app/LastestTabGroup	2016-08-01 03:05:58.421000	function	logic	intention	125	125	-1	ip
23773465	cookie_id	individual_id	26	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 03:05:58.546000	function	logic	intention	8161	8161	-1	ip
23773465	cookie_id	individual_id	27	app://com.cathaybk.mymobibank.android.app/LastestActivity	2016-08-01 03:06:06.707000	function	logic	intention	2204	2204	-1	ip
23773465	cookie_id	individual_id	28	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 03:06:08.911000	function	logic	intention	125	125	-1	ip
23773465	cookie_id	individual_id	29	app://com.cathaybk.mymobibank.android.app/MyBankTabGroup	2016-08-01 03:06:09.360000	function	logic	intention	52324	52324	-1	ip
23773465	cookie_id	individual_id	30	app://com.cathaybk.mymobibank.android.app/企業行動密碼	2016-08-01 03:07:01.360000	function	logic	intention	1177	1177	-1	ip
23773465	cookie_id	individual_id	31	app://com.cathaybk.mymobibank.android.app/InputPinView	2016-08-01 03:07:02.537000	function	logic	intention	6965	6965	-1	ip
23773465	cookie_id	individual_id	32	app://com.cathaybk.mymobibank.android.app/TabBarActivity	2016-08-01 03:07:09.502000	function	logic	intention	110	110	-1	ip
23773465	cookie_id	individual_id	33	app://com.cathaybk.mymobibank.android.app/MyBankTabGroup	2016-08-01 03:07:09.612000	function	logic	intention	125	125	-1	ip
23773465	cookie_id	individual_id	34	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 03:07:09.737000	function	logic	intention	623211	120000	-1	ip
23773465	cookie_id	individual_id	35	app://com.cathaybk.mymobibank.android.app/TabBarActivity	2016-08-01 03:17:32.948000	function	logic	intention	8178	8178	-1	ip
23773465	cookie_id	individual_id	36	app://com.cathaybk.mymobibank.android.app/TabBarActivity	2016-08-01 03:17:41.126000	function	logic	intention	2141	2141	-1	ip
23773465	cookie_id	individual_id	37	app://com.cathaybk.mymobibank.android.app/MyBankTabGroup	2016-08-01 03:17:43.267000	function	logic	intention	142	142	-1	ip
23773465	cookie_id	individual_id	38	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 03:17:43.409000	function	logic	intention	17361	17361	-1	ip
23773465	cookie_id	individual_id	39	app://com.cathaybk.mymobibank.android.app/MainView	2016-08-01 03:18:00.770000	function	logic	intention	109	109	-1	ip
23773465	cookie_id	individual_id	40	app://com.cathaybk.mymobibank.android.app/企業行動密碼	2016-08-01 03:18:00.879000	function	logic	intention	0	0	-1	ip
23773518	cookie_id	individual_id	4	https://www.cathaybk.com.tw/cathaybk/card/event/2016/card_news1050129.asp	2016-08-01 03:10:59.282000	function	logic	intention	6484	6484	1078	ip
23773538	189ef8288f28482988b3090b33aa13cc	individual_id	2	https://www.cathaybk.com.tw/cathaybk/	2016-08-01 03:08:24.823000	function	logic	intention	88300	88300	882	ip
