32677203,327,15260,15260
32677203,572,2243446,485466
32677860,514,17732,17732
32677860,285,1841,1841
32677860,547,32838,32838
32677860,301,1432073,120406
32677860,886,26261,26261
32677860,3437,28822,28822
32678679,1099,57529,57529
32678679,961,93802,93802
32678679,1022,105981,105981
32678679,1130,114396,114396
32678679,860,80187,80187
32678679,1004,311918,123168
32678679,1054,72819,72819
32678679,1058,114928,114928
32678679,899,466336,124613
32678679,1050,71863,71863
32678679,895,24103,24103
32678679,1034,480802,123395
32678679,1015,142509,123875
32678679,988,97858,97858
32678679,933,273751,123510
32678679,934,31136,31136
32678679,1093,47181,47181
32678679,950,400429,162717
32678679,950,50958,50958
32678679,994,30390,30390
32678679,963,299417,123008
32678679,984,96890,96890
32678679,931,28369,28369
32678679,1000,41890,41890
32678679,1002,65710,65710
32678679,904,250897,122546
32678770,None,328,328
32678770,None,94,94
32678770,None,172,172
32678770,None,88,88
32678770,None,125,125
32678770,None,5092,5092
32678770,None,0,0
32678770,None,93,93
32678770,None,188,188
32678770,None,838614,120000
32678770,None,94,94
32678770,None,1792114,120000
32678770,None,78,78
32678891,218,1503705,246976
32678891,303,907857,204636
32678891,278,1762893,730567
32678892,2658,42114,42114
32678892,3546,31787,31787
32678892,None,619013,122088
32678892,2973,16564,16564
32678979,None,505,505
32678979,None,3828,3828
32678979,None,423,423
32678979,None,438,438
32678979,None,21372,21372
32678979,None,1413,1413
32678979,None,446,446
32678979,None,407,407
32678979,None,500,500
32678979,None,438,438
32678979,None,440,440
32678979,None,703,703
32678979,None,391,391
32678979,None,2589,2589
32678979,None,19035,19035
32678979,None,2212,2212
32678979,None,101723,101723
32678979,None,547,547
32678979,None,359,359
32678979,None,688,688
32678979,None,13418,13418
32678979,None,131119,126752
32678979,None,421,421
32678979,None,394,394
32678979,None,485,485
32678979,None,391,391
32678979,None,16376,16376
32678979,None,406,406
32678979,None,688,688
32678979,None,406,406
32678979,None,663,663
32678979,None,453,453
32678979,None,609,609
32678979,None,65327,65327
32678979,None,59534,59534
32678979,None,360,360
32678979,None,0,0
32678979,None,29855,29855
32678979,None,485,485
32678979,None,3707,3707
32678979,None,475,475
32678979,None,20253,20253
32678979,None,531,531
32678979,None,28003,28003
32678979,None,58972,58972
32678979,None,359,359
32678979,None,1568291,129437
32679001,369,15765,15765
32679001,401,122838,122838
32679001,363,1325289,146969
32679071,None,1835120,121896
32679168,662,15197,15197
32679168,None,480,480
32679168,724,5644,5644
32679168,None,563,563
32679168,542,494,494
32679168,None,65181,65181
32679168,None,505,505
32679205,None,24655,24655
32679205,None,0,0
32679205,None,0,0
32679205,None,0,0
32679205,None,31,31
32679205,None,28146,28146
32679205,None,0,0
32679205,None,29123,29123
32679205,None,29494,29494
32679205,None,7040,7040
32679205,None,29357,29357
32679205,32749,6011,6011
32679205,None,28684,28684
32679205,None,0,0
32679205,None,0,0
32679205,None,0,0
32679205,None,7327,7327
32679205,28153,15155,15155
32679205,None,29967,29967
32679205,None,0,0
32679205,None,27662,27662
32679205,None,28512,28512
32679232,768,3153,3153
32679232,1556,147389,147389
32679232,3707,7843,7843
32679232,1508,3638,3638
32679232,None,24606,24606
32679236,347,546577,121719
32679236,404,15132,15132
32679236,1248,2772,2772
32679255,1130,606184,124325
32679255,287,15196,15196
32679255,1194,609192,125875
32679255,None,1022,1022
32679255,None,2299,2299
32679255,246,23768,23768
32679267,244,2197,2197
32679267,3900,131229,131229
32679267,None,0,0
32679267,None,16396,16396
32679267,3978,88344,88344
32679267,None,15499,15499
32679267,1027,1794,1794
32679279,None,297147,183040
32679291,None,1570073,175850
32679291,None,285804,122765
32679312,9735,504096,323707
32679312,598,828,828
32679314,None,1298348,120000
32679314,None,95,95
32679314,None,0,0
