session_id	cookie_id	individual_id	session_seq	url	creation_datetime	function	logic	intention	duration	active_duration	loading_time	ip
23777047	695ca8e11c5d4adc8b42f4815cca7de1	individual_id	1	app://com.cathaybk.mmb.ios.app	2016-08-01 04:56:29.120000	function	logic	intention	1409	1409	-1	1.46.68.143
23777047	695ca8e11c5d4adc8b42f4815cca7de1	individual_id	2	app://com.cathaybk.mmb.ios.app/國泰世華銀行	2016-08-01 04:56:30.421000	function	logic	intention	103446	103446	-1	1.46.68.143
23777047	695ca8e11c5d4adc8b42f4815cca7de1	individual_id	3	app://com.cathaybk.mmb.ios.app/歷史推播訊息	2016-08-01 04:58:13.867000	function	logic	intention	7793	7793	-1	1.46.68.143
23777047	695ca8e11c5d4adc8b42f4815cca7de1	individual_id	4	app://com.cathaybk.mmb.ios.app/推播訊息查詢	2016-08-01 04:58:21.660000	function	logic	intention	0	0	-1	1.46.68.143
23777034	dc6ee5ace2ce4fb7abf4cf4c15427d91	individual_id	1	https://www.mybank.com.tw/MyBank/Home/Login?ReturnUrl=%2fMyBank%2fQuicklinks%2fHome	2016-08-01 04:55:19.887000	function	logic	intention	51234	51234	-1	1.174.141.150
23777034	dc6ee5ace2ce4fb7abf4cf4c15427d91	individual_id	2	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 04:56:11.184000	function	logic	intention	477092	399082	3304	1.174.141.150
23777029	6e049b2f8add475ba697bca0929ce148	individual_id	1	https://www.cathaybk.com.tw/cathaybk/house-more-index.asp	2016-08-01 04:54:54.199000	function	logic	intention	250592	250592	-1	110.26.93.109
23777029	6e049b2f8add475ba697bca0929ce148	individual_id	2	https://www.cathaybk.com.tw/cathaybk/house-reserve-finish.asp	2016-08-01 04:59:04.791000	function	logic	intention	15823	15823	-1	110.26.93.109
23777021	e29df041a27f4fb6831e00e5820670d5	individual_id	1	https://www.cathaybk.com.tw/cathaybk/exchange/currency-billboard.asp#current	2016-08-01 04:53:43.878000	function	logic	intention	5030	5030	-1	118.150.109.18
23775289	cookie_id	individual_id	5	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 04:00:15.460000	function	logic	intention	195528	195528	4055	ip
23775289	cookie_id	individual_id	6	https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout	2016-08-01 04:03:30.606000	function	logic	intention	9271	9271	363	ip
